2004/06/18 10:54:49 Start Transaction
2004/06/18 10:54:59 Transaction RollBack
2004/06/18 10:54:59 Start Transaction
2004/06/18 10:55:09 Transaction RollBack
2004/06/18 10:55:09 Start Transaction
2004/06/18 10:55:20 Transaction RollBack
2004/06/18 10:55:20 Start Transaction
2004/06/18 10:55:30 Transaction RollBack
2004/06/18 10:55:30 Start Transaction
2004/06/18 10:55:40 Transaction RollBack
2004/06/18 10:55:40 Start Transaction
2004/06/18 10:55:51 Transaction RollBack
2004/06/18 10:55:51 Start Transaction
2004/06/18 10:56:01 Transaction RollBack
2004/06/18 10:56:01 Start Transaction
2004/06/18 10:56:11 Transaction RollBack
2004/06/18 10:56:11 Start Transaction
2004/06/18 10:56:22 Transaction RollBack
2004/06/18 10:56:22 Start Transaction
2004/06/18 10:56:32 Transaction RollBack
2004/06/18 10:56:32 Start Transaction
2004/06/18 10:56:42 Transaction RollBack
2004/06/18 10:56:42 Start Transaction
2004/06/18 10:56:53 Transaction RollBack
2004/06/18 10:56:53 Start Transaction
2004/06/18 10:57:03 Transaction RollBack
2004/06/18 10:57:03 Start Transaction
2004/06/18 10:57:13 Transaction RollBack
2004/06/18 10:57:13 Start Transaction
2004/06/18 10:57:24 Transaction RollBack
2004/06/18 10:57:24 Start Transaction
2004/06/18 10:57:34 Transaction RollBack
2004/06/18 10:57:34 Start Transaction
2004/06/18 10:57:44 Transaction RollBack
2004/06/18 10:57:44 Start Transaction
2004/06/18 10:57:55 Transaction RollBack
2004/06/18 10:57:55 Start Transaction
2004/06/18 10:58:05 Transaction RollBack
2004/06/18 10:58:05 Start Transaction
2004/06/18 10:58:15 Transaction RollBack
2004/06/18 10:58:15 Start Transaction
2004/06/18 10:58:26 Transaction RollBack
2004/06/18 10:58:26 Start Transaction
2004/06/18 10:58:36 Transaction RollBack
2004/06/18 10:58:36 Start Transaction
2004/06/18 10:58:46 Transaction RollBack
2004/06/18 10:58:46 Start Transaction
2004/06/18 10:58:57 Transaction RollBack
2004/06/18 10:58:57 Start Transaction
2004/06/18 10:59:07 Transaction RollBack
2004/06/18 10:59:07 Start Transaction
2004/06/18 10:59:17 Transaction RollBack
2004/06/18 10:59:17 Start Transaction
2004/06/18 10:59:28 Transaction RollBack
2004/06/18 10:59:28 Start Transaction
2004/06/18 10:59:38 Transaction RollBack
2004/06/18 10:59:38 Start Transaction
2004/06/18 10:59:48 Transaction RollBack
2004/06/18 10:59:49 Start Transaction
2004/06/18 10:59:59 Transaction RollBack
2004/06/18 10:59:59 Start Transaction
2004/06/18 11:00:09 Transaction RollBack
2004/06/18 11:00:09 Start Transaction
2004/06/18 11:00:20 Transaction RollBack
2004/06/18 11:00:20 Start Transaction
2004/06/18 11:00:30 Transaction RollBack
2004/06/18 11:00:30 Start Transaction
2004/06/18 11:00:40 Transaction RollBack
2004/06/18 11:00:40 Start Transaction
2004/06/18 11:00:51 Transaction RollBack
2004/06/18 11:00:51 Start Transaction
2004/06/18 11:01:01 Transaction RollBack
2004/06/18 11:01:01 Start Transaction
2004/06/18 11:01:11 Transaction RollBack
